Number of Files,MSE,Name
5,-5.899577671401872,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr"
5,-4.359856159160666,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Anderson et al"
5,-4.605162478392168,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, De Novo Designs"
5,-6.164892951464964,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl"
5,-6.060887518406736,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr"
5,-4.917864841453809,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Anderson et al"
5,-5.248491234983329,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, De Novo Designs"
5,-6.156335529539458,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr"
5,-5.644520824532371,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, Anderson et al"
5,-5.390365303789183,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, De Novo Designs"
5,-5.492112434641354,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pr, Anderson et al"
5,-5.957734877091908,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pr, De Novo Designs"
5,-4.5063705146804045,"La Fleur et al, Urtecho et al, Hossain et al, Anderson et al, De Novo Designs"
5,-4.868317425491097,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
5,-5.018824511510743,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
5,-4.061943535313637,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Anderson et al"
5,-3.8672226954760145,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, De Novo Designs"
5,-4.909234967096802,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
5,-3.8299043518370004,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, Anderson et al"
5,-4.036397428117395,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, De Novo Designs"
5,-3.8908706529912482,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pr, Anderson et al"
5,-4.485438118056069,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pr, De Novo Designs"
5,-3.490408880322762,"La Fleur et al, Urtecho et al, Yu et al, Anderson et al, De Novo Designs"
5,-4.881201275460702,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-4.750190335406755,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
5,-4.8518822169414895,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
5,-5.0674029415192585,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
5,-5.087786749221841,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
5,-3.987888889579272,"La Fleur et al, Urtecho et al, Lagator et al 36N, Anderson et al, De Novo Designs"
5,-4.477563993582664,"La Fleur et al, Urtecho et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-4.107990961006485,"La Fleur et al, Urtecho et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-3.9031428315366132,"La Fleur et al, Urtecho et al, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-4.09522555665625,"La Fleur et al, Urtecho et al, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.666453398907782,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
5,-4.158085652826257,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
5,-3.910448656186534,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Anderson et al"
5,-3.517142841468351,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, De Novo Designs"
5,-3.7366156001515516,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
5,-4.323410924772328,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, Anderson et al"
5,-4.15601865661538,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, De Novo Designs"
5,-3.728220724928059,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pr, Anderson et al"
5,-4.11359794946616,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pr, De Novo Designs"
5,-4.045100330793521,"La Fleur et al, Hossain et al, Yu et al, Anderson et al, De Novo Designs"
5,-4.281421086334292,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-3.821363137404895,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
5,-4.261817020484554,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
5,-4.62560659469144,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
5,-3.9922861882876606,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
5,-3.3043956640821,"La Fleur et al, Hossain et al, Lagator et al 36N, Anderson et al, De Novo Designs"
5,-3.608606987761392,"La Fleur et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-3.638961301061146,"La Fleur et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-3.9619604615947392,"La Fleur et al, Hossain et al, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-3.5016396743605713,"La Fleur et al, Hossain et al, Lagator et al Pr, Anderson et al, De Novo Designs"
